Date,Open,High,Low,Close,Volume,Adj Close
3/11/2013,5.8,5.83,5.53,5.64,65600,5.64
3/8/2013,5.74,5.87,5.51,5.85,104300,5.85
3/7/2013,5.56,5.73,5.4,5.7,105900,5.7
3/6/2013,5.1,5.68,5.07,5.58,129300,5.58
3/5/2013,5.39,5.55,5,5.14,199200,5.14
3/4/2013,5.41,5.6,5.29,5.37,125100,5.37
3/1/2013,5.45,5.69,5.32,5.45,103300,5.45
2/28/2013,5.52,5.58,5.45,5.51,191600,5.51
2/27/2013,5.61,5.71,5.5,5.52,141600,5.52
2/26/2013,5.61,5.73,5.5,5.56,148500,5.56
2/25/2013,5.72,5.72,5.5,5.5,109500,5.5
2/22/2013,5.74,5.75,5.55,5.62,95200,5.62
2/21/2013,5.98,6.01,5.6,5.67,151800,5.67
2/20/2013,6.26,6.35,5.9,5.98,239900,5.98
2/19/2013,5.92,6.2,5.9,6.14,151000,6.14
2/15/2013,5.93,6.01,5.68,5.93,160300,5.93
2/14/2013,5.86,6,5.75,5.86,54000,5.86
2/13/2013,6.16,6.16,5.79,5.82,164400,5.82
2/12/2013,5.7,6.17,5.55,6.14,301900,6.14
2/11/2013,5.64,5.73,5.61,5.71,59000,5.71
2/8/2013,5.59,5.69,5.48,5.67,148400,5.67
2/7/2013,5.69,5.75,5.52,5.56,111700,5.56
2/6/2013,5.56,5.68,5.5,5.65,178000,5.65
2/5/2013,5.66,5.69,5.5,5.61,130700,5.61
2/4/2013,5.65,5.75,5.47,5.59,255700,5.59
2/1/2013,5.64,5.75,5.47,5.61,182000,5.61
1/31/2013,5.55,5.59,5.45,5.5,143700,5.5
1/30/2013,5.78,5.84,5.47,5.54,385900,5.54
1/29/2013,5.92,6,5.8,5.82,209600,5.82
1/28/2013,5.97,6.03,5.8,5.93,271500,5.93
1/25/2013,6.2,6.23,5.96,5.99,202300,5.99
1/24/2013,6.04,6.22,6.01,6.19,223400,6.19
1/23/2013,6.3,6.35,6.01,6.08,198400,6.08
1/22/2013,6.24,6.31,6.12,6.25,193800,6.25
1/18/2013,6.28,6.35,6.12,6.26,266100,6.26
1/17/2013,6.31,6.44,6.13,6.22,210200,6.22
1/16/2013,6.33,6.36,6.2,6.32,192400,6.32
1/15/2013,6.56,6.68,6.34,6.36,301200,6.36
1/14/2013,6.5,6.64,6.4,6.63,210300,6.63
1/11/2013,6.49,6.65,6.38,6.6,160300,6.6
1/10/2013,6.51,6.75,6.48,6.52,181800,6.52
1/9/2013,6.88,6.88,6.5,6.53,191700,6.53
1/8/2013,7.01,7.02,6.67,6.79,333200,6.79
1/7/2013,6.98,7.39,6.69,7,242900,7
1/4/2013,7.12,7.6,6.94,6.97,405800,6.97
1/3/2013,6.5,7.09,6.32,6.99,251700,6.99
1/2/2013,6.47,6.71,6.42,6.65,273900,6.65
12/31/2012,6.55,6.55,6.02,6.41,416300,6.41
12/28/2012,6.35,6.6,6.01,6.58,304400,6.58
12/27/2012,6.18,6.63,5.93,6.45,560200,6.45
12/26/2012,6.41,6.7,6.28,6.63,199000,6.63
12/24/2012,6.25,6.48,6.08,6.41,73500,6.41
12/21/2012,6.25,6.32,6.03,6.21,243900,6.21
12/20/2012,6.41,6.51,6.17,6.43,252300,6.43
12/19/2012,6.56,6.71,6.34,6.58,207800,6.58
12/18/2012,6,6.9,6,6.74,606900,6.74
12/17/2012,6.06,6.12,5.96,6.1,155700,6.1
12/14/2012,5.95,6.25,5.91,6.15,261600,6.15
12/13/2012,6.01,6.24,6,6.04,118700,6.04
12/12/2012,5.96,6.28,5.95,6.08,134900,6.08
12/11/2012,5.82,6.15,5.82,6.05,287000,6.05
12/10/2012,6.01,6.18,5.87,5.9,229200,5.9
12/7/2012,6,6.37,5.98,6.18,355100,6.18
12/6/2012,5.98,6.19,5.8,6.1,142700,6.1
12/5/2012,6,6.23,5.91,6.09,262400,6.09
12/4/2012,6.19,6.32,6,6.08,565100,6.08
12/3/2012,6.38,6.44,6.03,6.39,214900,6.39
11/30/2012,6.09,6.49,6.01,6.45,222800,6.45
11/29/2012,6.01,6.37,5.95,6.25,231300,6.25
11/28/2012,6,6.23,5.78,6.11,203100,6.11
11/27/2012,6.33,6.34,5.95,6,243600,6
11/26/2012,6.01,6.5,5.75,6.48,294400,6.48
11/23/2012,6.25,6.25,6.1,6.21,70800,6.21
11/21/2012,6.25,6.4,6.16,6.32,124800,6.32
11/20/2012,6.5,6.78,6.2,6.3,153200,6.3
11/19/2012,6.05,7.02,6.05,6.75,774700,6.75
11/16/2012,6.12,6.25,6,6.19,211800,6.19
